Employee Name, Job Title, Base Pay, Overtime Pay, Other Pay, Benefits, Total Pay & Benefits, Year, Notes, Agency, Status
"Not Provided","Teachg Asst-Gship",44016.0,0.0,0.0,0.0,44016.0,2022,"None","University of California",
"Not Provided","Teachg Asst-Gship",30286.0,0.0,7576.0,6131.0,43993.0,2023,"None","University of California",
"Not Provided","Teachg Asst-Gship",36839.0,0.0,0.0,7151.0,43990.0,2023,"None","University of California",
"Not provided","Teachg Asst-1/10-Gship",43988.0,0.0,0.0,0.0,43988.0,2020,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",43954.0,0.0,0.0,0.0,43954.0,2017,"None","University of California",
"Not Provided","Teachg Asst-Gship",35404.0,0.0,8509.0,0.0,43913.0,2023,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",34446.0,0.0,5259.0,4198.0,43903.0,2016,"None","University of California",
"Not provided","Teachg Asst-Gship",42586.0,0.0,0.0,1313.0,43899.0,2019,"None","University of California",
"Not provided","Teachg Asst-Gship",43874.0,0.0,0.0,0.0,43874.0,2020,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",30799.0,0.0,5018.0,8054.0,43871.0,2017,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",34059.0,0.0,8645.0,1155.0,43859.0,2016,"None","University of California",
"Not provided","Teachg Asst-Gship",34699.0,0.0,1552.0,7505.0,43756.0,2020,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",34180.0,2084.0,100.0,7392.0,43756.0,2018,"None","University of California",
"Not Provided","Teachg Asst-Gship",34872.0,0.0,5682.0,3177.0,43731.0,2023,"None","University of California",
"Not Provided","Teachg Asst-Gship",39487.0,0.0,4226.0,0.0,43713.0,2022,"None","University of California",
"Not Provided","Teachg Asst-Gship",40305.0,0.0,0.0,3406.0,43711.0,2023,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",32920.89,0.0,10734.0,0.0,43654.89,2012,"None","University of California",
"Not provided","Teachg Asst-Gship",37123.0,0.0,0.0,6511.0,43634.0,2019,"None","University of California",
"Not Provided","Teachg Asst-Gship",35823.0,0.0,7800.0,0.0,43623.0,2023,"None","University of California",
"Not Provided","Teachg Asst-Gship",43581.0,0.0,0.0,0.0,43581.0,2023,"None","University of California",
"**** ****","Teachg Asst-Gship",39563.0,0.0,4000.0,0.0,43563.0,2021,"None","University of California",
