Employee Name, Job Title, Base Pay, Overtime Pay, Other Pay, Benefits, Total Pay & Benefits, Year, Notes, Agency, Status
"Not Provided","Gsr-Partial Fee Rem",55882.0,0.0,0.0,0.0,55882.0,2023,"None","University of California",
"Not provided","Gsr-Partial Fee Rem",50617.0,0.0,0.0,5205.0,55822.0,2020,"None","University of California",
"Not provided","GSR-FULL FEE REM",41588.0,0.0,3476.0,10647.0,55711.0,2015,"None","University of California",
"Not provided","GSR-TUIT &amp; FEE REM",44153.0,0.0,455.0,11048.0,55656.0,2018,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",55636.0,0.0,0.0,0.0,55636.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",55636.0,0.0,0.0,0.0,55636.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",55636.0,0.0,0.0,0.0,55636.0,2023,"None","University of California",
"Not Provided","Gsr-Tuit &amp; Fee Rem",55636.0,0.0,0.0,0.0,55636.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",53508.0,0.0,0.0,2118.0,55626.0,2023,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",41427.0,0.0,14182.0,0.0,55609.0,2023,"None","University of California",
"Not provided","GSR-FULL FEE REM",55594.0,0.0,0.0,0.0,55594.0,2016,"None","University of California",
"Not provided","GSR-FULL FEE REM",42177.0,0.0,0.0,13416.0,55593.0,2016,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",47624.0,0.0,0.0,7966.0,55590.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",55576.0,0.0,0.0,0.0,55576.0,2023,"None","University of California",
"Not provided","Gsr-Partial Fee Rem",49966.0,0.0,1586.0,4008.0,55560.0,2020,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",55487.0,0.0,0.0,0.0,55487.0,2023,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",47343.0,0.0,5468.0,2659.0,55470.0,2023,"None","University of California",
"Not provided","GSR-PARTIAL FEE REM",40687.0,0.0,5165.0,9606.0,55458.0,2014,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",55456.0,0.0,0.0,0.0,55456.0,2022,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",55456.0,0.0,0.0,0.0,55456.0,2022,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",55456.0,0.0,0.0,0.0,55456.0,2022,"None","University of California",
"Not provided","GSR-FULL FEE REM",50199.0,0.0,5250.0,0.0,55449.0,2018,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",55422.0,0.0,0.0,0.0,55422.0,2023,"None","University of California",
"Not provided","GSR-FULL FEE REM",38679.0,0.0,5722.0,11005.0,55406.0,2015,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",54558.0,0.0,800.0,0.0,55358.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",50910.0,0.0,0.0,4437.0,55347.0,2023,"None","University of California",
"Not provided","Gsr-Full Fee Rem",52848.0,0.0,0.0,2440.0,55288.0,2019,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",53945.0,0.0,0.0,1329.0,55274.0,2023,"None","University of California",
